name;url;brand;availability;price
LM2665M6X/NOPB, IC REG CHARGE PUMP 40MA SOT23-6;/product0/8003420135;Texas Instruments;no;120
LM2670SD-ADJ/NOPB, Conv DC-DC 8V to 40V Synchronous Step Down Single-Out 1.2V to 37V 3A 14-Pin VSON EP T/R;/product0/8003065002;Texas Instruments;no;770
LM2671MX-3.3/NOPB, Conv DC-DC 8V to 40V Synchronous Step Down Single-Out 3.3V 0.5A 8-Pin SOIC T/R;/product0/8003048217;Texas Instruments;no;660
LM2671N-12/NOPB, Switching Voltage Regulators Pwr Cnvtr High Eff 500mA SD VTG Reg;/product0/8004741691;Texas Instruments;no;1420
LM2672MX-5.0/NOPB, IC REG BUCK 5V 1A 8SOIC;/product0/8003692552;Texas Instruments;no;380
LM2673S-3.3/NOPB, Conv DC-DC 8V to 40V Step Down Single-Out 3.3V 3A 8-Pin(7+Tab) TO-263 Tube;/product0/8003048221;Texas Instruments;no;970
LM2673T-ADJ/NOPB, Conv DC-DC 8V to 40V Step Down Single-Out 1.2V to 37V 3A 7-Pin(7+Tab) TO-220 Tube;/product0/8003109240;Texas Instruments;no;650
LM2674M-3.3/NOPB, Switching Voltage Regulators PWR CONVERTER HI EFF 500MA SD VLTG REG;/product0/8004654852;Texas Instruments;no;1280
LM2675M-ADJ/NOPB, Switching Voltage Regulators HIGH EFF 1A STEP- DOWN VLTG REG;/product0/8004654858;Texas Instruments;no;1660
LM2676S-12/NOPB, Switching Voltage Regulators HIGH EFF 3A STEP- DOWN VLTG REG;/product0/8004741697;Texas Instruments;no;1930
LM2676S-3.3/NOPB, Switching Voltage Regulators HIGH EFF 3A STEP- DOWN VLTG REG;/product0/8004741698;Texas Instruments;no;1930
LM2676SD-5.0/NOPB, Conv DC-DC 8V to 40V Step Down Single-Out 5V 3A 14-Pin VSON EP T/R;/product0/8003048235;Texas Instruments;no;780
LM2676SX-5.0/NOPB, IC REG BUCK 5V 3A TO263-7;/product0/8003601367;Texas Instruments;no;590
LM2677T-3.3/NOPB, Conv DC-DC 8V to 40V Synchronous Step Down Single-Out 3.3V 5A 7-Pin(7+Tab) TO-220 Tube;/product0/8003048240;Texas Instruments;no;810
LM2678SD-5.0/NOPB, Conv DC-DC 8V to 40V Step Down Single-Out 5V 5A 14-Pin VSON EP T/R;/product0/8003048243;Texas Instruments;no;950
LM2678T-12/NOPB, STEP-DOWN REGULATOR, TO-220-7;/product/lm2678t-12-nopb-step-down-regulator-to-220-7;Texas Instruments;no;1410
LM2679T-5.0/NOPB, Conv DC-DC 8V to 40V Step Down Single-Out 5V 5A 7-Pin(7+Tab) TO-220 Tube;/product0/8003323083;Texas Instruments;no;940
LM2694MT/NOPB, Conv DC-DC 8V to 30V Step Down Single-Out 2.5V to 24V 0.6A 14-Pin TSSOP Tube;/product0/8003065019;Texas Instruments;no;440
LM2705MF-ADJ/NOPB, Conv DC-DC 2.2V to 7V Step Up Single-Out 20V 5-Pin SOT-23 T/R;/product0/8003065035;Texas Instruments;no;410
LM2733XMF/NOPB, IC REG BOOST ADJ 1A SOT23-5;/product0/8003562340;Texas Instruments;no;190
LM2735XMY/NOPB, Conv DC-DC 2.7V to 5.5V Step Up Single-Out 3V to 24V 3A 8-Pin HVSSOP EP T/R;/product0/8003065045;Texas Instruments;no;310
LM2735YMY/NOPB, Conv DC-DC 2.7V to 5.5V Step Up Single-Out 3V to 24V 3A 8-Pin HVSSOP EP T/R;/product0/8003151783;Texas Instruments;no;280
LM2745MTC/NOPB, DC/DC Cntrlr Single-OUT Step Down 1000kHz 14-Pin TSSOP Tube;/product0/8003322906;Texas Instruments;no;390
LM2773TL/NOPB, IC REG CHARG PUMP PROG 9USMD;/product0/8003827754;Texas Instruments;no;220
LM2775DSGR, IC REG CHARG PUMP 5V 200MA 8WSON;/product0/8003502918;Texas Instruments;no;130
LM2776DBVT, Charge Pump INV -2.7V to -5.5V 200mA 6-Pin SOT-23 T/R;/product0/8003214455;Texas Instruments;no;170
LM2776DBVT, IC REG CHARGE PUMP INV SOT23;/product0/8003928293;Texas Instruments;no;120
LM2841XMKX-ADJL/NOPB, Conv DC-DC 4.5V to 42V Step Down Single-Out 0.765V to 34V 0.3A 6-Pin TSOT-23 T/R;/product0/8003065065;Texas Instruments;no;360
LM2852XMXA-1.2/NOPB, Conv DC-DC 2.85V to 5.5V Synchronous Step Down Single-Out 1.2V 2A 14-Pin HTSSOP EP Tube;/product0/8003322986;Texas Instruments;no;660
LM3478MM/NOPB, IC REG CTRLR MULT TOP 8VSSOP;/product0/8003568116;Texas Instruments;no;210
LM3488QMM/NOPB, DC/DC Cntrlr Single-OUT Step Up 1A 1000kHz Automotive AEC-Q100 8-Pin VSSOP T/R;/product0/8003048391;Texas Instruments;no;380
LM34925MR/NOPB, Conv DC-DC 7.5V to 100V Synchronous Step Down Single-Out 1.225V to 90V 8-Pin HSOIC EP Tube;/product0/8003065180;Texas Instruments;no;340
LM34936RHFT, DC/DC Cntrlr Single-OUT Step Down/Step Up 600kHz 28-Pin VQFN EP T/R;/product0/8002351440;Texas Instruments;no;1090
LM3495MTC/NOPB, DC/DC Cntrlr Single-OUT Step Down 550kHz 16-Pin TSSOP Tube;/product0/8003323429;Texas Instruments;no;600
LM3674MF-1.2/NOPB, Понижающий импульсный стабилизатор, фиксированный, 2.7В-5.5В (Vin), 1.2В и 0.6A на выходе, SOT-23-5;/product/lm3674mf-1.2-nopb;Texas Instruments;no;450
